get around,"syn: overcome, solve",get around obstacles,halletmek [f.],üstesinden gelmek [f.],,,
get over,"syn: recover from, overcome",get over a disease,iyileşmek [f.],atlatmak [f.],,,
get rid of,"syn: eliminate, remove",get rid of waste,kurtulmak [f.],,,,
give away,"syn: donate, give for free",give away samples,bağışlamak [f.],ücretsiz vermek [f.],,,
give in,"syn: yield, surrender",give in to pressure,teslim olmak [f.],kabullenmek [f.],boyun eğmek [f.],,
give off / out,"syn: emit, release, send out",give off heat,yaymak [f.],"salmak (elektrik, gaz, enerji) [f.]",,,
give up,"syn: quit, abandon, stop",give up smoking,vazgeçmek [f.],bırakmak [f.],,,
go over,"syn: review, examine",go over results,üzerinden geçmek [f.],detaylıca incelemek [f.],,,
go through,"syn: experience, undergo, examine",go through changes,geçirmek [f.],"yaşamak (tecrübe, olay) [f.]",çekmek (hastalık) [f.],incelemek [f.],
hand down,"syn: pass on, transmit",hand down knowledge,devretmek [f.],aktarmak (kuşaktan kuşağa) [f.],miras bırakmak [f.],,
hand in,"syn: submit, deliver",hand in a report,elden teslim etmek [f.],ibraz etmek [f.],,,
keep on,"syn: continue, persist",keep on increasing,devam etmek [f.],,,,
keep off,"syn: stay away from, avoid",keep off dangerous areas,uzak durmak [f.],yaklaşmamak [f.],,,
keep up with,"syn: follow, stay informed, catch up",keep up with advances,arayı kapatmak [f.],yakalamak [f.],güncel kalmak [f.],haberdar olmak [f.],
lay out,"syn: arrange, design, plan",lay out a plan,bir düzene sokmak [f.],tasarlamak [f.],,,
let down,syn: disappoint,let down expectations,üzmek [f.],hayal kırıklığına uğratmak [f.],,,
look after,"syn: take care of, care for",look after patients,bakmak [f.],ilgilenmek [f.],göz kulak olmak [f.],,
look down on,"syn: despise, humiliate",look down on others,tepeden bakmak [f.],hor görmek [f.],aşağılamak [f.],,
look for,"syn: search for, seek",look for evidence,aramak [f.],,,,
look into,"syn: investigate, examine",look into causes,incelemek [f.],araştırmak [f.],,,
look out,"syn: beware, watch out",look out for symptoms,sakınmak [f.],gözetmek [f.],dikkat etmek [f.],,
look over,"syn: review briefly, inspect",look over data,göz gezdirmek [f.],kısaca incelemek [f.],,,
look up,syn: search in a dictionary,look up a term,sözlükte kelime aramak [f.],,,,
look up to,"syn: admire, respect",look up to scientists,hayranlık duymak [f.],saygı duymak [f.],,,
make do with,"syn: manage with, cope with",make do with limited resources,ile yetinmek [f.],idare etmek [f.],,,
make up,"syn: constitute, form, invent",make up 70% of,oluşturmak [f.],teşkil etmek [f.],"uydurmak (bahane, hikâye) [f.]",,
make up for,"syn: compensate for, offset",make up for losses,telafi etmek [f.],kapatmak (açığı/eksiği) [f.],,,
make up with,syn: reconcile with,make up with someone,arayı düzeltmek [f.],barışmak [f.],,,
make out,"syn: understand, figure out",make out details,anlamak [f.],çözmek [f.],,,
name after,"syn: give the same name, call after",name after a scientist,adını vermek [f.],ismini koymak [f.],,,
pass away,syn: die,pass away from illness,ölmek [f.],can vermek [f.],,,
pass out,"syn: faint, lose consciousness",pass out due to heat,bayılmak [f.],kendinden geçmek [f.],,,
pave the way for,"syn: prepare the ground for, enable",pave the way for research,zemin hazırlamak [f.],yol açmak [f.],,,
pick up,"syn: collect, take, learn",pick up signals,birini almak (arabayla) [f.],toplamak [f.],almak [f.],,
pull through,"syn: recover, survive",pull through illness,iyileşmek [f.],atlatmak [f.],,,
put aside,"syn: save, set aside",put aside funds,kenara koymak [f.],biriktirmek [f.],,,
put forward,"syn: propose, suggest, claim",put forward a theory,ileri sürmek [f.],ortaya atmak [f.],,,
put off,"syn: postpone, delay",put off treatment,ertelemek [f.],geciktirmek [f.],,,
put on,"syn: wear, host",put on weight,giymek [f.],"takmak (kıyafet, aksesuar) [f.]",ağırlamak [f.],misafir etmek [f.],
put out,syn: extinguish,put out a fire,"söndürmek (yangın, ateş) [f.]",,,,
put up with,"syn: tolerate, endure",put up with noise,katlanmak [f.],dayanmak [f.],tahammül etmek [f.],,
rely on / upon,"syn: depend on, count on",rely on evidence,güvenmek [f.],bel bağlamak [f.],-e bağlı olmak [f.],dayanmak [f.],
rest on / upon,"syn: depend on, be based on",rest on assumptions,-e bağlı olmak [f.],dayanmak [f.],,,
root out,"syn: eradicate, eliminate",root out disease,kökünü kurutmak [f.],yok etmek [f.],,,
run into/across,"syn: encounter, come across",run into problems,karşılaşmak [f.],rast gelmek [f.],,,
run on,"syn: operate on, be powered by",run on electricity,çalışmak (bir güç ya da enerji ile) [f.],,,,
run out of,"syn: deplete, use up, exhaust",run out of time,bitmek [f.],"tükenmek (para, zaman, güç) [f.]",,,
send off / out,"syn: emit, release, give off",send out signals,yaymak [f.],"salmak (elektrik, gaz, enerji) [f.]",,,
set on / out / about,"syn: begin, start, embark on",set out to prove,bir işe girişmek [f.],başlamak [f.],,,
set up,"syn: establish, found, start",set up a laboratory,kurmak [f.],başlamak [f.],,,
sort out,"syn: classify, organize, solve",sort out data,sınıflandırmak [f.],gruplandırmak [f.],çözümlemek [f.],,
stand against,"syn: oppose, resist",stand against pollution,"karşısında durmak (fikir, görüş) [f.]",,,,
stand for,"syn: represent, support",stand for a concept,savunmak [f.],desteklemek [f.],simgelemek [f.],,
stand out,"syn: be noticeable, attract attention",stand out clearly,göze çarpmak [f.],dikkat çekmek [f.],,,
step down,"syn: resign, leave office",step down from office,istifa etmek [f.],görevi bırakmak [f.],,,
spring up,"syn: appear suddenly, emerge",spring up rapidly,kısa zamanda meydana çıkmak [f.],türemek [f.],,,
take after,syn: resemble,take after parents,benzemek [f.],soya çekmek [f.],,,
take off,"syn: rise, leave the ground, remove",planes take off,"yükselişe geçmek (uçak, helikopter) [f.]",kıyafetini çıkarmak [f.],,,
take over,"syn: assume, undertake, seize control",take over control,üstüne almak [f.],üstlenmek (görev) [f.],"ele geçirmek (yönetim, kontrol) [f.]",,
take up,"syn: occupy, start, engage in",take up space,kaplamak [f.],"işgal etmek (yer, zaman) [f.]","meşgul olmak (iş, hobi, aktivite) [f.]",,
take to,"syn: go to, move into",take to the streets,"-e dökülmek (sokak, cadde) [f.]",,,,
turn down,"syn: reject, refuse, lower",turn down an offer,geri çevirmek [f.],reddetmek [f.],sesini kısmak [f.],,
turn over,"syn: hand over, deliver, make turnover",turn over control,"teslim etmek (göçmen, kaçak) [f.]",ciro yapmak [f.],,,
throw up,"syn: vomit, build quickly",throw up buildings,kusmak [f.],hızlıca inşa etmek [f.],,,
use up,"syn: consume, deplete",use up resources,tüketmek [f.],bitirmek [f.],,,
wear out,"syn: erode, damage, exhaust",wear out materials,yıpratmak [f.],eskitmek [f.],aşındırmak [f.],,
wipe out,"syn: eliminate, destroy",wipe out populations,yok etmek [f.],silip süpürmek [f.],,,
work out,"syn: solve, understand, develop",work out a solution,anlamak [f.],çözmek [f.],kavramak [f.],gelişmek (olaylar) [f.],
