disaster,"syn: Catastrophe, calamity",environmental disaster,afet [i.],felaket [i.],,,
amplification,"syn: Intensification, strengthening, augmentation, extension",amplification of seismic waves,kuvvetlendirme [i.],yükseltme [i.],artış [i.],,
adverse,"syn: Unfavorable, unpleasant",adverse effect on,ters [s.],olumsuz [s.],,,
altitude,"syn: Height, elevation",at high altitude,irtifa [i.],rakım [i.],yükseklik [i.],,
crash,"syn: Collision, accident",crash was caused by,çarpışma [i.],kaza [i.],,,
Day 21, ,,,,,,
refuse,"syn: Reject, rebuff, turn down",refuse to do,geri çevirmek [f.],reddetmek [f.],,,
precious,"syn: Valuable, costly, expensive",precious ecosystems,kıymetli [s.],değerli [s.],,,
insecticide,syn: Pesticide,insecticide gets into plants,böcek ilacı [i.],,,,
huge,"syn: Enormous, vast, gigantic, massive",huge amounts,muazzam [s.],devasa [s.],çok büyük [s.],,
disappearance,"syn: Vanishing, fading, loss",disappearance of species,yok olma [i.],gözden kaybolma [i.],,,
be composed of,"syn: Consist of, be made up of, comprise",be composed of groups,-den oluşmak [f.],,,,
allege,"syn: Assert, claim, maintain",allege that,iddia etmek [f.],ileri sürmek [f.],,,
exceed,"syn: Go beyond, surpass",exceed 100,aşmak [f.],ileri gitmek [f.],,,
sustainability,syn: Maintaining an ecological balance,sustainability policies,sürdürülebilirlik [i.],doğal denge [i.],,,
adjust,"syn: Modify, regulate, adapt",adjust to conditions,ayarlamak [f.],uyum sağlamak [f.],,,
approval,"syn: Acceptance, agreement",approval of the committee,tasvip [i.],onay [i.],,,
space shuttle,syn: Spacecraft,space shuttle missions,uzay mekiği [i.],,,,
sanitation,"syn: Hygiene, cleanliness",poor sanitation,sıhhi temizlik [i.],,,,
friction,"syn: Rubbing, resistance",atmospheric friction,sürtünme [i.],,,,
equilibrium,"syn: Balance, stability",reach equilibrium,denge [i.],kararlılık [i.],,,
fertilize,"syn: Compost, manure",fertilize the soil,gübrelemek [f.],verimli kılmak [f.],,,
arid,"syn: Dry, waterless, infertile, barren",arid conditions,verimsiz [s.],çorak [s.],kuru [s.],,
dependence,"syn: Reliance, addiction, need",dependence on,gereksinim [i.],bel bağlama [i.],,,
strike,"syn: Beat, hit",strike Earth,vurmak [f.],çarpmak [f.],etkilemek [f.],darbe [i.],çarpma [i.]
vapour,"syn: Steam, haze, fume",water vapour,buhar [i.],buğu [i.],,,
Day 22, ,,,,,,
harvest,"syn: Collect, catch",harvest coral,hasat etmek [f.],toplamak [f.],yakalamak [f.],,
identical,"syn: Same, indistinguishable",genetically identical animals,aynı [s.],ayırt edilemez [s.],özdeş [s.],,
retain,"syn: Keep, save, maintain, preserve",retain images,muhafaza etmek [f.],tutmak [f.],korumak [f.],,
unmanned,syn: Not having or needing a crew or staff,unmanned missions,insansız çalışan [s.],mürettebatsız [s.],,,
invisible,"syn: Unseen, hidden, concealed",invisible dark matter,görünmez [s.],gizli [s.],,,
intent,"syn: Aim, plan, mean",intend to do,niyet etmek [f.],hedeflemek [f.],planlamak [f.],,
forecast,"syn: Predict, foresee, estimate, guess",forecast temperatures,tahmin etmek [f.],öngörmek [f.],,,
massive,"syn: Huge, immense, enormous, vast",massive pollution,büyük [s.],muazzam [s.],devasa [s.],,
immigration,syn: Arrival of settlers in a new country,,göç [i.],,,,
intense,"syn: Extreme, intensified",intense storms,yoğun [s.],şiddetli [s.],,,
copper,syn: Reddish-brown metal,,bakır [i.],,,,
assumption,"syn: Supposition, postulation, hypothesis",assumption that,sanı [i.],farzetme [i.],varsayım [i.],,
account for,"syn: Constitute, comprise, make up",account for 90%,oluşturmak [f.],tekabül etmek [f.],,,
deforestation,syn: The action of clearing a wide area of trees,deforestation contributes to,ormansızlaşma [i.],,,,
diversify,"syn: Branch out, vary, expand",life diversified,çeşitlenmek [f.],çeşitlendirmek [f.],farklılaştırmak [f.],,
strengthen,"syn: Reinforce, fortify, consolidate",monsoons strengthen,sağlamlaştırmak [f.],güçlendirmek [f.],,,
doubtful,"syn: Unsure, uncertain",doubtful whether,şüpheli [s.],kuşkulu [s.],,,
erroneous,"syn: Mistaken, flawed, wrong",erroneous results,yanlış [s.],hatalı [s.],,,
advocate,"syn: Support, counsel, back up",advocated for weight loss,savunmak [f.],destek olmak [f.],,,
substantially,"syn: Considerably, significantly",contribute substantially to,önemli ölçüde [zf.],epeyce [zf.],,,
Day 23, ,,,,,,
magnificent,"syn: Wonderful, splendid, glorious",magnificent eagle,görkemli [s.],muhteşem [s.],gösterişli [s.],,
overlook,"syn: Ignore, neglect",overlooked in fossil record,görmezden gelmek [f.],,,,
regarding,"syn: Concerning, about, as to",regarding nutrition,ile ilgili olarak [edat],hakkında [edat],,,
evaluate,"syn: Assess, appraise",evaluate initiatives,değerlendirmek [f.],kıymetlendirmek [f.],,,
trigger,"syn: Activate, cause, generate",trigger earthquakes,tetiklemek [f.],sebep olmak [f.],,,
purify,"syn: Cleanse, decontaminate",purify water,arıtmak [f.],saflaştırmak [f.],,,
accomplish,"syn: Achieve, complete, carry out",accomplish research,tamamlamak [f.],bitirmek [f.],,,
crack,"syn: Split, fissure, break",cracks in the crust,çatlak [i.],yarık [i.],,,
avalanche,syn: Downhill fall of snow,avalanche occurs,çığ [i.],,,,
demolish,"syn: Destroy, ruin, damage",demolish ecology,yıkmak [f.],tahrip etmek [f.],,,
disputable,"syn: Arguable, debatable",disputable decision,tartışmaya açık [s.],,,,
vertical,syn: Upright,vertical stabilizer,dik [s.],dikey [s.],,,
end up with,"syn: Result in, wind up with",end up with failure,ile sonuçlanmak [f.],,,,
tackle,"syn: Deal with, cope with, handle, overcome",tackle climate change,üstesinden gelmek [f.],uğraşmak [f.],mücadele etmek [f.],,
volume,"syn: Capacity, cubic measure",smaller volume,hacim [i.],,,,
degrade,"syn: Break down, take apart",degrade biologically,ayrıştırmak [f.],parçalara ayırmak [f.],,,
excessive,"syn: Extreme, too much",excessive exposure to,aşırı [s.],çok fazla [s.],,,
exhibit,"syn: Show, display, demonstrate",exhibit sensitivity to,göstermek [f.],sergilemek [f.],,,
habitable,"syn: Liveable, fit to live",habitable planets,yaşanabilir [s.],,,,
imply,"syn: Suggest, indicate, hint",imply that,işaret etmek [f.],ima etmek [f.],,,
Day 24, ,,,,,,
reveal,"syn: Unveil, divulge, disclose",reveal the process,ortaya koymak [f.],açığa kavuşturmak [f.],,,
delicate,"syn: Weak, fragile",delicate shipments,hassas [s.],nazik [s.],zarif [s.],,
dense,syn: Thick,dense fog,yoğun [s.],,,,
suggest,"syn: Indicate, propose, put forward",suggest that,işaret etmek [f.],belirtmek [f.],,,
aversion,"syn: Dislike, hatred",food aversions,hoşlanmama [i.],sevmeme [i.],kaçınma [i.],,
consist of,"syn: Be made up of, be composed of",consist of two spacecraft,-den oluşmak [f.],,,,
deplete,"syn: Expend, use up, exhaust",deplete habitats,tükenmek [f.],bitmek [f.],boşaltmak [f.],,
erratic,"syn: Inconsistent, irregular",erratic sleep and diet,düzensiz [s.],dengesiz [s.],,,
affluent,"syn: Rich, wealthy, prosperous",affluent societies,zengin [s.],gelişmiş [s.],,,
durability,"syn: Toughness, sturdiness",safety and durability,dayanıklılık [i.],,,,
germination,syn: Start growing from seed,after germination,çimlenme [i.],,,,
accelerate,"syn: Expedite, speed up",accelerate erosion,hızlan(dır)mak [f.],,,,
commence,"syn: Start, begin, embark on",commence field research,başla(t)mak [f.],,,,
glacier,"syn: A large mass of ice, iceberg",glaciers melt,buzul [i.],,,,
impair,"syn: Damage, harm",impair ability to,zarar vermek [f.],bozmak [f.],,,
constitute,"syn: Comprise, make up",constitute 7 percent,oluşturmak [f.],teşkil etmek [f.],,,
execute,"syn: Carry out, perform, implement",execute procedures,icra etmek [f.],uygulamak [f.],,,
solid,"syn: Hard, rigid","solid, liquid, gas",katı [s.],,,,
instantaneous,"syn: Prompt, rapid, sudden, immediate",instantaneous effects,ani [s.],hemen [zf.],,,
sustain,"syn: Maintain, continue, keep up",sustain profitability,sürdürmek [f.],ayakta tutmak [f.],,,
Day 25, ,,,,,,
refinement,"syn: Purification, cleansing",three-step refinement,arıtma [i.],geliştirme [i.],,,
enlighten,"syn: Explain, clarify, inform, notify",enlighten sb on/about,aydınlatmak [f.],öğretmek [f.],bilgi vermek [f.],,
fulfill,"syn: Carry out, accomplish, implement, execute",fulfill pledges,uygulamak [f.],gerçekleştirmek [f.],yerine getirmek [f.],,
mean,"syn: Signify, denote",mean “...”,anlamına gelmek [f.],,,,
prejudice,"syn: Bias, prejudgment",overcome prejudice,ön yargı [i.],peşin hüküm [i.],,,
rigid,"syn: Unbending, inflexible, stiff",rigid material,sert [s.],eğilmez [s.],,,
spread,"syn: Disperse, distribute",spread viruses,dağılmak [f.],yayılmak [f.],,,
numerous,"syn: Many, plentiful, abundant",numerous compounds,sayısız [s.],pek çok [s.],,,
validity,"syn: Soundness, reasonableness, rationality",validity and reliability,geçerlilik [i.],,,,
innovation,"syn: Novelty, invention, revolution",innovation in production,yenilik [i.],buluş [i.],,,
gravity,syn: The force that attracts a body towards the centre of the earth,force of gravity,yerçekimi [i.],,,,
exploitation,"syn: Utilization, taking advantage, misuse",agricultural exploitation,sömürü [i.],kullanma [i.],faydalanma [i.],,
specimen,"syn: Sample, example",test specimens,örnek [i.],numune [i.],,,
ensure,"syn: Make sure, make certain, guarantee",ensure coordination,garantiye almak [f.],emin olmak [f.],sağlamak [f.],,
obstacle,"syn: Difficulty, hindrance, impediment",obstacle to life,mani [i.],engel [i.],,,
lineage,"syn: Ancestry, family",human lineage,soy [i.],köken [i.],,,
humidity,"syn: Moisture, dampness",high humidity,nem [i.],rutubet [i.],,,
excavation,"syn: Digging, archaeological site",excavations in Russia,kazı [i.],,,,
phase,syn: Stage,phase of carbon,safha [i.],aşama [i.],,,
initiate,"syn: Start, begin, commence",initiate programs,başlatmak [f.],girişmek [f.],,,
Day 26, ,,,,,,
giant,"syn: Immense, vast, huge, enormous",giant storm,muazzam [s.],devasa [s.],,,
external,"syn: Outside, exterior",external influence,dış [s.],harici [s.],,,
disassemble,syn: Take apart,disassemble the sarcophagus,sökmek [f.],demonte etmek [f.],,,
continent,"syn: Landmass, mainland",ancient continent,kıta [i.],anakara [i.],,,
dramatically,"syn: Radically, considerably, spectacularly, significantly",drop dramatically,çarpıcı şekilde [zf.],önemli ölçüde [zf.],,,
inflammable,"syn: Flammable, combustible, ignitable, burnable",inflammable material,yanıcı [s.],parlayıcı [s.],alev alan [s.],,
portable,"syn: Movable, transportable, transferable",portable electronics,taşınabilir [s.],seyyar [s.],,,
ignorance,"syn: Incomprehension, lack of knowledge, illiteracy",ignorance of radioactivity,cahillik [i.],cehalet [i.],bilgisizlik [i.],,
withstand,"syn: Endure, resist, bear, tolerate",withstand quakes,direnmek [f.],dayanmak [f.],mukavemet etmek [f.],,
useless,"syn: Pointless, futile",useless against threats,yararsız [s.],faydasız [s.],boşuna [zf.],,
mutual,"syn: Joint, shared",mutual gravity,müşterek [s.],ortak [s.],,,
deal with,"syn: Cope with, manage, handle",deal with needs,başa çıkmak [f.],üstesinden gelmek [f.],,,
confirm,"syn: Verify, prove",confirmed by results,doğrulamak [f.],teyit etmek [f.],,,
artificial,"syn: Synthetic, fake, imitation",artificial silk,yapay [s.],suni [s.],,,
accumulate,"syn: Amass, collect, gather, pile up",accumulate in a reservoir,toplamak [f.],birik(tir)mek [f.],,,
deprive of,"syn: Dispossess, divest",deprive sb/sth of,-den mahrum etmek [f.],yoksun bırakmak [f.],,,
alloy,"syn: Mixture, amalgam, blend",alloy developed by,alaşım [i.],,,,
attribute to,"syn: Ascribe, assign",attribute meaning to,atfetmek [f.],dayandırmak [f.],bağlamak [f.],,
replenish,"syn: Refill, recharge",replenish nutrients,tazelemek [f.],doldurmak [f.],yenilenmek [f.],,
pole,syn: Either of the two points on the Earth,North Pole,kutup [i.],,,,
